epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,607.105,2.10261,1.16259,1.06976,0.95233,0.97222,0.97028,0.37737,1.86882,0.94365,0.9553,0.0008318,0.0008318,0.0008318
61,617.161,2.07196,1.195,1.1037,0.925,1,0.98608,0.41717,1.83523,0.9064,0.94781,0.000812,0.000812,0.000812
62,627.251,2.11403,1.21301,1.08891,0.89409,0.97222,0.94062,0.36725,1.95661,0.93287,0.96371,0.0007922,0.0007922,0.0007922
63,637.495,2.13665,1.22996,1.08678,0.76827,0.82894,0.82625,0.28156,2.04778,1.11755,0.97058,0.0007724,0.0007724,0.0007724
64,647.338,2.08049,1.23082,1.08323,0.79058,0.86111,0.82427,0.29197,1.95872,1.09686,0.96614,0.0007526,0.0007526,0.0007526
65,657.229,2.03136,1.18421,1.0919,0.87943,0.88889,0.85065,0.34303,1.85773,0.99637,0.94857,0.0007328,0.0007328,0.0007328
66,667.553,2.02573,1.15788,1.07766,0.8894,0.91667,0.89023,0.34179,1.87903,0.98869,0.94753,0.000713,0.000713,0.000713
67,677.754,2.03253,1.18144,1.10623,0.86053,0.91667,0.87057,0.33523,1.90783,0.96992,0.95774,0.0006932,0.0006932,0.0006932
68,687.685,2.05737,1.14349,1.08633,0.8101,0.86111,0.82485,0.30992,1.9389,1.05406,0.96166,0.0006734,0.0006734,0.0006734
69,697.618,2.02817,1.17451,1.08741,0.79792,0.86111,0.83609,0.31663,1.8709,1.04155,0.94794,0.0006536,0.0006536,0.0006536
70,707.567,2.0463,1.163,1.09009,0.8529,0.91667,0.87311,0.33131,1.81949,1.03769,0.94764,0.0006338,0.0006338,0.0006338
71,717.994,1.99011,1.15211,1.08138,0.87892,0.97222,0.94789,0.37271,1.77986,0.9725,0.9443,0.000614,0.000614,0.000614
72,727.91,2.04787,1.17816,1.09811,0.93554,0.97222,0.97587,0.36699,1.80736,0.9567,0.94245,0.0005942,0.0005942,0.0005942
73,738.295,2.05385,1.1713,1.07161,0.83783,0.86109,0.87547,0.32746,1.89973,1.03342,0.94588,0.0005744,0.0005744,0.0005744
74,748.531,2.04288,1.13432,1.07505,0.9825,1,0.995,0.38757,1.77466,0.91082,0.93733,0.0005546,0.0005546,0.0005546
75,759.035,2.04364,1.123,1.09173,0.96275,0.97222,0.96124,0.35494,1.81597,0.98921,0.94674,0.0005348,0.0005348,0.0005348
76,768.959,2.09418,1.17337,1.10585,0.92991,0.94444,0.94134,0.36576,1.8369,1.0024,0.94733,0.000515,0.000515,0.000515
77,779.408,1.9783,1.11942,1.07262,0.96491,0.97222,0.95959,0.35569,1.84822,0.98804,0.95063,0.0004952,0.0004952,0.0004952
78,789.376,2.04092,1.17904,1.10274,0.95769,0.97222,0.96084,0.36299,1.83657,0.99133,0.94485,0.0004754,0.0004754,0.0004754
79,799.846,1.97919,1.12129,1.07078,0.95894,0.97222,0.95917,0.34602,1.83801,1.0277,0.95219,0.0004556,0.0004556,0.0004556
80,809.792,1.98086,1.14607,1.06879,0.90565,0.91667,0.91031,0.33432,1.87074,1.05844,0.95374,0.0004358,0.0004358,0.0004358
81,820.312,1.97713,1.10673,1.08354,0.97998,1,0.995,0.39548,1.746,0.91781,0.94447,0.000416,0.000416,0.000416
82,830.748,1.99039,1.08016,1.04858,0.93475,0.91667,0.9438,0.34883,1.8966,1.04051,0.95023,0.0003962,0.0003962,0.0003962
83,841.158,2.03587,1.14101,1.07114,0.79411,0.91667,0.86378,0.32362,2.01383,1.1085,0.96055,0.0003764,0.0003764,0.0003764
84,851.095,2.00698,1.09382,1.09646,1,0.99589,0.995,0.39309,1.79053,0.93161,0.94553,0.0003566,0.0003566,0.0003566
85,861.57,2.0013,1.11619,1.09764,0.96427,0.97222,0.96875,0.36788,1.78742,0.94465,0.94265,0.0003368,0.0003368,0.0003368
86,871.532,2.00199,1.10881,1.06389,0.91283,0.91667,0.9156,0.32718,1.80929,0.99963,0.94566,0.000317,0.000317,0.000317
87,881.501,2.02263,1.13636,1.09152,0.94414,0.93917,0.935,0.33774,1.80728,1,0.94893,0.0002972,0.0002972,0.0002972
88,892.014,1.98077,1.13139,1.06515,0.87285,0.86111,0.87514,0.34101,1.84045,1.01543,0.94894,0.0002774,0.0002774,0.0002774
89,901.986,1.93706,1.10298,1.04983,0.90125,0.88889,0.90141,0.35015,1.84942,1.02757,0.94965,0.0002576,0.0002576,0.0002576
90,912.747,1.98732,1.11013,1.06541,0.98741,0.97222,0.99446,0.39386,1.81388,0.92341,0.95008,0.0002378,0.0002378,0.0002378
91,923.394,1.96048,1.09411,1.11497,1,0.98975,0.995,0.40047,1.79366,0.93164,0.94707,0.000218,0.000218,0.000218
92,933.921,1.95086,1.09044,1.111,0.94389,0.93478,0.93384,0.36221,1.8577,1.03071,0.94848,0.0001982,0.0001982,0.0001982
93,943.712,1.96743,1.09688,1.09437,0.97194,0.96244,0.96803,0.36222,1.85505,1.02144,0.94686,0.0001784,0.0001784,0.0001784
94,953.496,1.99121,1.10613,1.11895,0.91615,0.91064,0.90612,0.36016,1.84803,1.01367,0.94368,0.0001586,0.0001586,0.0001586
95,963.77,1.93914,1.08441,1.10227,0.97204,0.96595,0.97192,0.37845,1.77638,0.97706,0.93653,0.0001388,0.0001388,0.0001388
96,974.016,1.97268,1.09131,1.10828,1,0.99404,0.995,0.37685,1.77934,0.97317,0.93618,0.000119,0.000119,0.000119
97,984.117,1.94101,1.08437,1.11311,0.94203,0.97222,0.98161,0.37573,1.80841,0.98842,0.93796,9.92e-05,9.92e-05,9.92e-05
98,994.181,1.947,1.08217,1.0958,0.97156,1,0.99068,0.37402,1.78654,0.98278,0.93728,7.94e-05,7.94e-05,7.94e-05
99,1004.45,1.93476,1.07848,1.10642,0.96805,1,0.99284,0.36367,1.80648,1.00084,0.94053,5.96e-05,5.96e-05,5.96e-05
100,1014.68,1.98301,1.08309,1.09258,0.94172,0.97222,0.97355,0.3588,1.83483,1.02407,0.94199,3.98e-05,3.98e-05,3.98e-05
