epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,337.071,2.0356,1.14958,1.0674,0.96788,1,0.995,0.43221,1.88314,0.93671,0.95239,0.0006734,0.0006734,0.0006734
69,341.565,2.0178,1.18523,1.0682,0.96483,0.97222,0.98048,0.41658,1.84991,0.96987,0.94007,0.0006536,0.0006536,0.0006536
70,346.053,2.04161,1.1657,1.07132,0.96273,1,0.995,0.46655,1.75946,0.9136,0.94647,0.0006338,0.0006338,0.0006338
71,350.546,2.0036,1.17462,1.07019,0.89221,0.97222,0.94725,0.42254,1.79695,0.92944,0.94626,0.000614,0.000614,0.000614
72,355.024,2.04165,1.18201,1.07478,0.9873,1,0.995,0.40177,1.85493,0.95667,0.9439,0.0005942,0.0005942,0.0005942
73,359.53,2.0408,1.18024,1.05405,0.86428,0.88457,0.90636,0.31289,2.06553,1.08677,0.95781,0.0005744,0.0005744,0.0005744
74,364.121,2.05313,1.17869,1.05956,0.9357,1,0.99151,0.40495,1.82326,0.91392,0.93467,0.0005546,0.0005546,0.0005546
75,368.576,2.05406,1.14619,1.07117,0.97257,0.98492,0.99284,0.42457,1.81643,0.91336,0.94131,0.0005348,0.0005348,0.0005348
76,373.154,2.07982,1.17807,1.08188,0.92118,1,0.99203,0.4044,1.89402,0.96263,0.94954,0.000515,0.000515,0.000515
77,377.721,1.98484,1.13706,1.05792,0.96264,1,0.99068,0.37623,1.9068,1.00294,0.94964,0.0004952,0.0004952,0.0004952
78,382.308,2.03369,1.17078,1.08342,0.94566,0.96698,0.9636,0.36703,1.92224,1.00132,0.94532,0.0004754,0.0004754,0.0004754
79,386.81,1.98602,1.13295,1.05283,0.94578,0.96921,0.96045,0.37743,1.92339,0.98631,0.94385,0.0004556,0.0004556,0.0004556
80,391.383,1.96777,1.14421,1.04427,0.86595,0.89738,0.9319,0.36386,1.96371,1.02836,0.94963,0.0004358,0.0004358,0.0004358
81,395.98,1.98106,1.12623,1.05887,0.95069,0.97222,0.97917,0.36728,1.94667,0.99771,0.94276,0.000416,0.000416,0.000416
82,400.506,2.00161,1.11761,1.03379,0.89773,0.91667,0.94773,0.3662,1.98947,0.9944,0.94695,0.0003962,0.0003962,0.0003962
83,405.025,2.02914,1.12972,1.05375,0.94692,0.99132,0.98197,0.39219,1.89894,0.97905,0.94586,0.0003764,0.0003764,0.0003764
84,409.569,2.00039,1.12248,1.07169,0.94356,1,0.98285,0.37969,1.88108,0.97471,0.9467,0.0003566,0.0003566,0.0003566
85,414.087,2.00124,1.11845,1.07619,0.96543,1,0.99365,0.40982,1.86415,0.91109,0.9449,0.0003368,0.0003368,0.0003368
86,418.604,2.01435,1.13392,1.05041,0.96596,1,0.99365,0.40149,1.85782,0.9125,0.94535,0.000317,0.000317,0.000317
87,423.145,2.02418,1.1353,1.07081,0.96394,1,0.99446,0.43391,1.82761,0.89265,0.94065,0.0002972,0.0002972,0.0002972
88,427.669,2.00381,1.13768,1.05596,0.9411,0.97222,0.97808,0.38922,1.91209,0.97428,0.94349,0.0002774,0.0002774,0.0002774
89,432.164,1.97268,1.14328,1.03943,0.86496,0.88966,0.92916,0.31736,2.01397,1.05694,0.95253,0.0002576,0.0002576,0.0002576
90,436.679,2.01712,1.16236,1.05149,0.97648,0.97222,0.99446,0.41876,1.85521,0.91422,0.9438,0.0002378,0.0002378,0.0002378
91,440.929,1.99432,1.1363,1.09488,1,0.99447,0.995,0.44649,1.81488,0.88196,0.94538,0.000218,0.000218,0.000218
92,445.132,1.99322,1.13081,1.09667,0.97087,1,0.995,0.3892,1.90394,0.95595,0.94012,0.0001982,0.0001982,0.0001982
93,449.383,1.97329,1.13002,1.06702,0.91057,0.91667,0.93558,0.36991,1.9662,0.98728,0.94299,0.0001784,0.0001784,0.0001784
94,453.587,2.0106,1.14653,1.09347,0.95201,0.97222,0.97911,0.37413,1.96037,0.97934,0.94243,0.0001586,0.0001586,0.0001586
95,457.781,1.96381,1.12408,1.08163,0.92272,0.94444,0.97095,0.3978,1.90547,0.9391,0.94207,0.0001388,0.0001388,0.0001388
96,462.223,1.98951,1.11915,1.08644,0.94601,0.97356,0.99395,0.39082,1.88293,0.92687,0.94325,0.000119,0.000119,0.000119
97,466.719,1.95358,1.11502,1.0925,0.91897,0.9451,0.98129,0.39374,1.8793,0.94419,0.94406,9.92e-05,9.92e-05,9.92e-05
98,471.008,1.96071,1.11279,1.07587,0.9195,0.94444,0.97988,0.39591,1.8713,0.9503,0.94262,7.94e-05,7.94e-05,7.94e-05
99,475.282,1.94417,1.12133,1.08329,0.9172,0.9233,0.95359,0.37716,1.88939,0.9696,0.94342,5.96e-05,5.96e-05,5.96e-05
100,479.434,2.00424,1.12396,1.07567,0.94231,0.97222,0.97742,0.37653,1.89897,0.98242,0.94339,3.98e-05,3.98e-05,3.98e-05
